Span Loc(m)	Chord(m)	IB Height(m)	IB Width(m)	Web Height(m)	Web Width(m)	IB Area(m2)	Moment(Nm)	Wing Weight(N/m)
0.374000	0.518543	0.038891	0.068966	0.017085	0.001000	0.001521	882.933582	50.308297
0.376000	0.518528	0.038890	0.068964	0.017114	0.001000	0.001519	882.028986	50.251354
0.378000	0.518512	0.038888	0.068962	0.017143	0.001000	0.001517	881.124897	50.194457
0.380000	0.518496	0.038887	0.068960	0.017172	0.001000	0.001515	880.221316	50.137607
0.382000	0.518480	0.038886	0.068958	0.017202	0.001000	0.001513	879.318243	50.080803
0.384000	0.518464	0.038885	0.068956	0.017231	0.001000	0.001510	878.415678	50.024045
0.386000	0.518448	0.038884	0.068954	0.017260	0.001000	0.001508	877.513620	49.967335
0.388000	0.518432	0.038882	0.068951	0.017289	0.001000	0.001506	876.612070	49.910672
0.390000	0.518416	0.038881	0.068949	0.017318	0.001000	0.001504	875.711028	49.854056
0.392000	0.518399	0.038880	0.068947	0.017347	0.001000	0.001502	874.810494	49.797488
0.394000	0.518383	0.038879	0.068945	0.017376	0.001000	0.001500	873.910468	49.740968
0.396000	0.518367	0.038877	0.068943	0.017405	0.001000	0.001498	873.010949	49.684496
0.398000	0.518350	0.038876	0.068941	0.017434	0.001000	0.001496	872.111938	49.628072
0.400000	0.518333	0.038875	0.068938	0.017463	0.001000	0.001494	871.213434	49.571696
0.402000	0.518317	0.038874	0.068936	0.017492	0.001000	0.001491	870.315439	49.515369
0.404000	0.518300	0.038872	0.068934	0.017520	0.001000	0.001489	869.417950	49.459091
0.406000	0.518283	0.038871	0.068932	0.017549	0.001000	0.001487	868.520970	49.402862
0.408000	0.518266	0.038870	0.068929	0.017578	0.001000	0.001485	867.624497	49.346682
0.410000	0.518249	0.038869	0.068927	0.017607	0.001000	0.001483	866.728532	49.290552
0.412000	0.518232	0.038867	0.068925	0.017635	0.001000	0.001481	865.833074	49.234472
0.414000	0.518214	0.038866	0.068923	0.017664	0.001000	0.001479	864.938124	49.178441
0.416000	0.518197	0.038865	0.068920	0.017692	0.001000	0.001477	864.043681	49.122460
0.418000	0.518180	0.038863	0.068918	0.017721	0.001000	0.001475	863.149746	49.066530
0.420000	0.518162	0.038862	0.068916	0.017749	0.001000	0.001473	862.256319	49.010650
0.422000	0.518145	0.038861	0.068913	0.017778	0.001000	0.001471	861.363399	48.954821
0.424000	0.518127	0.038860	0.068911	0.017806	0.001000	0.001469	860.470986	48.899042
0.426000	0.518109	0.038858	0.068909	0.017835	0.001000	0.001467	859.579081	48.843315
0.428000	0.518091	0.038857	0.068906	0.017863	0.001000	0.001464	858.687683	48.787638
0.430000	0.518073	0.038856	0.068904	0.017892	0.001000	0.001462	857.796793	48.732013
0.432000	0.518055	0.038854	0.068901	0.017920	0.001000	0.001460	856.906410	48.676440
0.434000	0.518037	0.038853	0.068899	0.017948	0.001000	0.001458	856.016535	48.620918
0.436000	0.518019	0.038851	0.068897	0.017976	0.001000	0.001456	855.127167	48.565449
0.438000	0.518001	0.038850	0.068894	0.018004	0.001000	0.001454	854.238306	48.510031
0.440000	0.517983	0.038849	0.068892	0.018033	0.001000	0.001452	853.349953	48.454666
0.442000	0.517964	0.038847	0.068889	0.018061	0.001000	0.001450	852.462107	48.399353
0.444000	0.517946	0.038846	0.068887	0.018089	0.001000	0.001448	851.574768	48.344093
0.446000	0.517927	0.038845	0.068884	0.018117	0.001000	0.001446	850.687937	48.288885
